njtzzrvg0lwj3bsn.info,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
x9fnzrtl4x8pynsf.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
bigquerycdn.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
ukrinform.ua,RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x)
discordapp.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
twimg.com,RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x)
p99nxpivfscyverz.me,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
modthesims.info,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
news.google.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
*.googlevideo.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
valentiae.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
janetvill.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
flibusta.one,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
whiskergalaxy.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
deepstateplatypus.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
seagrav.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
filecrypt.cc,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
flibusta.su,RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),WORKING(x),RU_QUIC_NO_PAYLOAD_ANSWER(x)
nordaccount.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
napps-2.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
nordpass.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
oakdenet.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
alfabankcdn.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
fralcks.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
play.google.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
zwyr157wwiu6eior.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
nordvpn.com,RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x),RU_QUIC_NO_PAYLOAD_ANSWER(x)
impervert.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
wirevpn.app,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
horizono.xyz,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
discord.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
shareblog.xyz,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
mariberimajinasi.store,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
totallyacdn.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
zenwriting.net,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
napps-1.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
nordlayer.com,WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x),WORKING(x)
